DATE,HPA,HPD,Cie,Ligne,Esc 1,Immat,Type app,PKG,Remarque,Comment,Terminal
9/4/2022,,14:30,DAH,6056,GJL,7TVJU,B736,P11A,DECOLLE 14:25,A TRACTE/91 PAX,T2
9/4/2022,,14:30,DAH,6184,ORN,7TVJS,B736,P12,DECOLLE 14:47,A TRACTE/101 PAX,T2
9/4/2022,,14:35,TAR,375,TUN,,A320,P1,DECOLLE 14:41,151PAX,T1
9/4/2022,15:00,,DAH,6143,AZR,7TVJT,B736,P9,DECOLLE 15:01,84PAX,T2
9/4/2022,15:10,,DAH,1011,ORY,7TVJZ,A330,P20,ARRIVE 15:57,269PAX,T4
9/4/2022,15:15,,DTH,1201,HME,7TVCM,DH8D,PA1,ARRIVE 15:10,45PAX,T2
9/4/2022,15:15,,DAH,6259,CZL,7TVUK,ATR72,PA1,ARRIVE 14:55,66PAX,T2
9/4/2022,15:20,,DAH,2025,FCO,7TVKR,B738,P19,ARRIVE 15:26,138PAX,T4
9/4/2022,,15:20,QTR,1380,DOH,,A332,P6B,DECOLLE 15:17,158PAX,T1
9/4/2022,15:25,,DAH,3001,SVO,7TVKN,B738,P17,ARRIVE 17:34,54PAX,T4
9/4/2022,15:35,,DTH,1517,HRM,7TVCT,B738,PA1,ARRIVE 14:30,31PAX,T2
9/4/2022,,15:50,DAH,4602,JED,7TVJA,A330,PA2,DECOLLE 15:45,245PAX,T1
9/4/2022,,16:00,DAH,6140,AZR,7TVUV,ATR72,PA1,DECOLLE 15:50,37PX ,T2
9/4/2022,,16:00,DAH,6176,AAE,7TVUO,ATR72,PA1,DECOLLE 15:55,61PX,T2
9/4/2022,,16:00,DAH,6192,CZL,7TVKE,B738,P10C,DECOLLE 16:03,96PX,T2
9/4/2022,16:05,,DAH,6133,CBH,7TVVR,ATR72,PA1,ARRIVE 16:25,66PX,T2
9/4/2022,16:15,,DTH,1155,HRM,7TVCD,B738,P12,ARRIVE 16:10,,T2
9/4/2022,16:40,,DAH,6217,OGX,7TVUM,ATR72,PA1,ARRIVE 16:35,72PX,T2
9/4/2022,,16:40,DTH,2114,CZL,7TVCB,B738,PA1,DECOLLE 16:15,07PX,T2
9/4/2022,16:45,,DAH,2047,GVA,7TVKK,B738,P22C,ARRIVE 16:50,145PX,T4
9/4/2022,,16:45,DAH,2014,BCN,7TVJZ,A330,P20,DECOLLE 17:25,AH 1011 ORY 15H10/149PAX,T4
9/4/2022,16:55,,DAH,6229,HME,7TVUUT,ATR72,PA1,ARRIVE 17:00,,T2
